,,,
,,,
,,,
,,,
,مدرسه المصريه الالمانيه,,1001
,,,
,,,
,مدرسة الهلالية,,1002
,,,
,,,
,مدرسه الاوائل ابو قرقاص,,1003
,,,
,,,
,الحضانه الامريكيه ,,1004
,,,
,,,
,مدرسه المصريه السويسريه,,1005
,,,
,,,
,مدرسه النيل ,,1006
,,,
,,,
,مدرسه الحريه,,1007
,,,
,,,
,مدرسه الرؤيه ,,1008
,,,
,,,
,مدرسه ال ياسر - التجمع الخامس,,1009
,,,
,,,
,شركه يوتوبيا ,,1010
,,,
,,,
,مدرسه صقر,,1011
,,,
,,,
,شركه United,,1012
,,,
,,,
,اكاديميه بورسعيد ناشونال ,,1013
,,,
,,,
,اكاديميه بورسعيد انترناشونال ,,1014
,,,
,,,
,مدرسه السلام الانجيليه,,1015
,,,
,,,
,مدرسه  جلورى - المنصوره,,1016
,,,
,,,
,,,
,,,
,مدرسه سان  مارك ,,1017
,,,
,,,
,مدرسه الاوائل - الزقازيق,,1018
,,,
,,,
,مدرسه القلب المقدس - ابو قرقاص,,1019
,,,
,,,
,مدرسه بريليانس,,1020
,,,
,,,
,مدرسه نور البيان ,,1021
,,,
,,,
,حضانه Will Be,,1022
,,,
,,,
,مدرسه الاوائل - بنى سويف,,1023
,,,
,,,
,مدرسه  خاتم المرسلين ,,1024
,,,
,,,
,مدرسه الفرسان ,,1025
,,,
,,,
,شركه Pharos,,1026
,,,
,,,
,مدرسه الدعوة الاسلاميه الفشن ,,1027
,,,
,,,
,مدرسه الوسطي,,1028
,,,
,,,
,مدرسه ناصر ,,1029
,,,
,,,
,مدرسه سيدى جابر بنات - سموحه,,1030
,,,
,,,
,مدرسه الهيئه - بورفؤاد,,1031
,,,
,,,
,مدرسه الهيئه - بورتوفيق,,1032
,,,
,,,
,مدرسه الهيئه - الاسماعيليه ,,1033
,,,
,,,
,,,
,,,
,مدرسه ليسيه - بورسعيد,,1034
,,,
,,,
,شركه الدار الحديثه ,,1035
,,,
,,,
,مدرسه  مبيعات نقديه,,1036
,,,
,,,
,شركه  المستقبل ,,1037
,,,
,,,
,حضانه ادم للعبور,,1038
,,,
,,,
,حضانه البراء التجمع,,1039
,,,
,,,
,شركه النيل ,,1040
,,,
,,,
,مدرسه وينرز,,1041
,,,
,,,
,شركه امديست ,,1042
,,,
,,,
,اكاديميه الطفل العبقرى - طنطا,,1043
,,,
,,,
,مدرسه الدلتا ,,1044
,,,
,,,
,مدرسه فرجنيا  للغات ,,1045
,,,
,,,
,اكاديميه الطفل العبقرى - بنها,,1046
,,,
,,,
,Royall Future Light ,,1047
,,,
,,,
,مدرسه المنصور فاقوس,,1048
,,,
,,,
,مدرسه منارة البيان العبور,,1049
,,,
,,,
,مدرسه القلب المقدس اسكندريه,,1050
,,,
,,,
,,,
,,,
,مدرسه ليدرز ابو كبير,,1051
,,,
,,,
,مدرسه مجمع الايمان الاسلامى,,1052
,,,
,,,
,مدرسه هوريزون الشرقيه,,1053
,,,
,,,
,مدرسه Wis Stars school,,1054
,,,
,,,
, مدرسه Pyramids,,1055
,,,
,,,
,EDU HOUSE,,1056
,,,
,,,
,مدرسه جلورى -المحله,,1057
,,,
,,,
,مدرسه رواد المسستقبل -15 مايو,,1058
,,,
,,,
,مدرسه الكرمه ,,1059
,,,
,,,
,مدرسه الديوان -  بنى سويف ,,1060
,,,
,,,
,مدرسه المختار - حلوان ,,1061
,,,
,,,
,مدرسه ليدرز - طنطا,,1062
,,,
,,,
,مدرسه الكنانه,,1063
,,,
,,,
,شركه المتحده,,1064
,,,
,,,
,مدرسه  رواد المستقبل - القطاميه ,,1065
,,,
,,,
,مدرسه  ريتاج - التجمع الخامس,,1066
,,,
,,,
,مدرسه  ريتاج - القطاميه ,,1067
,,,
,,,
,,,
,,,
,mios,,1068
,,,
,,,
,مدرسه بايونير الصديق - العاشر من رمضان  ,,1069
,,,
,,,
,مدرسه الغردقه الدوليه  ,,1070
,,,
,,,
,مدرسه الدعوة الاسلاميه للغات ,,1071
,,,
,,,
,شركه الصفا للنشر والتوزيع,,1072
,,,
,,,
,مدرسه زويل للغات ,,1073
,,,
,,,
,اكاديميه يو سى ماس,,1074
,,,
,,,
,مدرسه طيبه المتكامله الدوليه ,,1075
,,,
,,,
,مدرسه الواحه - القطاميه,,1076
,,,
,,,
,مدرسه اكسفورد,,1077
,,,
,,,
,مدرسه سمارت سيتى - الجيزه,,1078
,,,
,,,
,مدرسه الفا - العبور,,1079
